,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-let-7a,479,1,46,18,356,74,1,89,1,698,234,828,274,1,114,706,1041,540,62,120,1,178,132,583
mmu-let-7b,3377,382,927,363,2547,1141,1591,3194,1420,8878,3284,6309,3709,1686,2641,5907,7479,4268,2141,3498,1722,3590,2493,6595
mmu-let-7c,3846,193,707,218,2615,774,843,2184,855,7024,2882,6182,2852,954,2081,4738,6414,4413,1532,2075,1158,2766,2024,5025
mmu-let-7d,2183,198,639,215,1628,768,837,2414,623,7041,2693,5331,2327,602,1518,2963,4131,2738,960,1629,748,1764,1459,4325
mmu-let-7e,868,100,230,86,597,197,379,737,289,1751,927,1551,859,280,637,1214,1556,1239,487,823,344,749,615,1440
mmu-let-7f,177,21,34,9,143,42,92,131,75,276,181,350,194,68,148,263,429,222,111,140,86,140,125,261
mmu-let-7g,1790,98,371,158,1340,728,637,1630,404,4937,2725,4538,1760,361,1287,2356,4580,2183,726,1042,567,2012,1075,3377
mmu-let-7i,285,13,58,28,195,146,125,261,69,1020,488,864,404,87,233,373,812,304,197,230,96,301,217,617
mmu-miR-1,48,8,11,3,22,12,20,64,13,94,56,87,47,9,46,66,156,45,25,34,20,44,17,70
mmu-miR-100,129,16,31,19,123,49,72,168,49,335,142,253,181,50,127,193,398,198,90,126,75,115,99,222
mmu-miR-101a,6,1,2,1,6,4,9,8,10,15,12,11,14,7,15,7,31,12,10,13,15,12,12,8
mmu-miR-101b,50,14,13,8,16,17,83,77,69,78,63,83,91,64,81,99,104,62,75,97,65,93,71,92
mmu-miR-103,104,14,37,13,73,37,75,106,44,265,117,199,164,63,110,249,287,174,86,139,73,137,137,184
mmu-miR-105,22,7,8,2,3,8,41,40,18,30,33,37,39,25,28,45,27,32,28,30,34,31,40,38
mmu-miR-106a+mmu-miR-17,47,3,15,10,34,19,50,62,29,151,73,101,86,44,85,104,135,61,45,78,39,71,49,115
mmu-miR-106b,26,4,3,2,7,7,22,17,12,22,18,26,29,15,34,41,57,25,16,20,18,32,26,29
mmu-miR-107,33,2,7,5,18,8,21,23,12,58,35,68,42,28,37,63,87,43,23,36,36,39,42,51
mmu-miR-10a,5,1,5,1,6,7,7,11,6,30,13,16,13,16,21,24,15,12,8,18,9,10,24,16
mmu-miR-10b,14,7,9,3,6,5,21,13,21,21,19,27,17,17,36,32,21,29,26,32,33,29,25,25
mmu-miR-1186,122,13,23,5,41,12,124,102,121,161,96,174,117,129,119,191,123,94,82,220,151,47,266,87
mmu-miR-1186b,13,2,4,3,3,1,12,6,19,13,23,10,18,11,20,13,11,12,20,13,14,17,21,10
mmu-miR-1187,36,11,20,4,18,17,48,58,34,53,38,51,62,39,56,76,66,45,34,72,39,44,43,64
mmu-miR-1188,12,5,5,1,6,6,33,39,16,26,24,32,37,22,35,26,27,26,30,49,13,24,26,35
mmu-miR-1190,23,7,9,2,8,8,29,37,23,17,30,29,24,18,28,38,45,27,22,36,42,27,38,32
mmu-miR-1191,16,4,2,1,4,4,22,15,20,31,21,15,17,15,25,17,18,20,17,19,21,20,31,17
mmu-miR-1192,11,1,4,1,5,5,26,13,15,14,13,11,15,23,26,18,31,14,23,19,20,18,21,27
mmu-miR-1193,4,3,4,1,2,1,10,5,7,11,15,13,9,11,7,10,7,7,10,17,15,17,19,14
mmu-miR-1194,11,9,5,3,11,7,26,31,23,31,23,31,25,27,35,38,37,19,30,49,29,29,25,45
mmu-miR-1195,25,6,10,2,7,4,33,29,24,22,24,24,34,27,33,34,25,21,28,39,27,32,36,46
mmu-miR-1196,731,151,104,46,216,65,557,412,548,667,347,841,447,470,487,1039,781,439,348,786,579,195,1188,423
mmu-miR-1197,11,7,9,4,8,3,37,38,32,29,31,34,41,23,43,47,35,30,31,43,37,31,39,41
mmu-miR-1198,15,5,9,8,20,6,26,31,11,41,29,27,21,25,28,43,35,28,18,32,27,46,24,48
mmu-miR-1199,4,1,1,1,5,1,8,5,6,3,3,2,4,6,9,13,7,4,6,9,7,7,7,5
mmu-miR-122,3,1,5,2,6,1,6,6,10,6,7,10,4,9,8,5,11,12,11,10,7,12,11,10
mmu-miR-1224,31,10,9,7,18,8,47,53,24,38,44,58,59,33,60,56,59,41,36,61,37,48,44,67
mmu-miR-124,250,32,77,46,318,170,141,239,104,1195,637,678,489,115,288,819,1556,500,321,438,197,962,649,550
mmu-miR-125a-3p,27,10,13,2,21,12,41,49,24,59,33,71,61,35,56,60,67,37,44,58,40,45,48,73
mmu-miR-125a-5p,1529,245,512,230,1261,462,916,2070,626,4079,1972,3304,2197,1059,1367,2680,2737,1701,1552,2164,845,1490,1050,2829
mmu-miR-125b-3p,62,13,18,3,35,12,41,73,41,99,50,91,97,36,55,81,115,51,58,103,56,55,57,101
mmu-miR-125b-5p,6705,900,2068,771,4762,1974,3664,8052,2052,13054,4871,10003,10283,3529,5363,11080,12526,6997,5780,8370,3416,5442,3478,11073
mmu-miR-126-3p,3195,190,631,267,2097,1252,842,2289,565,6355,3569,6216,3194,663,2575,3130,8070,2503,1408,1693,786,2255,735,5161
mmu-miR-126-5p,253,12,35,11,129,60,57,115,42,298,274,314,210,45,207,222,632,166,111,107,64,219,52,297
mmu-miR-127,56,6,6,8,44,17,32,42,28,112,52,84,78,35,46,152,199,80,57,63,40,107,82,52
mmu-miR-1274a,4,1,3,1,1,1,11,5,6,10,6,7,6,8,4,9,14,9,8,12,15,2,12,9
mmu-miR-128,71,8,23,15,60,14,40,69,32,83,66,133,94,32,82,123,192,136,71,92,49,93,89,90
mmu-miR-129-3p,258,24,75,28,213,70,169,348,124,621,379,624,405,154,303,682,727,570,249,419,183,354,399,395
mmu-miR-129-5p,47,7,13,9,28,18,36,49,40,66,36,68,82,40,51,94,94,75,55,84,43,66,45,80
mmu-miR-1306,17,4,3,3,8,8,32,33,28,28,21,28,31,21,25,43,39,29,28,33,24,37,29,40
mmu-miR-130a,139,6,28,15,102,55,34,123,29,432,155,251,158,51,124,162,388,181,125,111,52,127,50,243
mmu-miR-130b,50,15,16,11,49,24,52,102,42,171,74,137,93,45,68,119,127,97,60,83,62,66,67,108
mmu-miR-132,282,34,101,52,348,124,176,362,104,1175,525,820,397,108,218,547,663,468,239,240,183,275,287,432
mmu-miR-133a,63,10,18,5,49,15,67,145,46,139,61,104,97,53,75,82,111,48,57,55,39,71,37,117
mmu-miR-133b,23,3,7,3,14,11,26,38,27,29,28,35,34,25,37,48,42,30,25,31,20,39,20,38
mmu-miR-134,13,6,11,1,10,8,31,39,26,31,23,32,27,18,31,45,42,27,26,35,30,30,30,34
mmu-miR-135a,249,29,80,32,195,60,125,250,86,433,315,378,314,80,242,248,292,290,164,239,105,184,146,451
mmu-miR-135b,7,1,2,1,4,2,15,17,12,9,8,16,17,19,20,12,18,10,12,23,13,18,18,19
mmu-miR-136,32,8,7,4,19,10,44,33,31,55,43,38,53,34,41,54,96,47,47,44,35,46,43,52
mmu-miR-137,5,1,3,1,4,6,14,9,13,14,21,18,17,6,11,17,45,10,17,10,19,30,18,14
mmu-miR-138,22,2,6,4,21,9,16,19,8,64,28,55,29,14,19,60,66,33,21,27,17,36,24,49
mmu-miR-139-3p,11,1,2,1,1,4,6,5,9,4,6,9,9,4,8,13,15,8,14,11,9,4,6,13
mmu-miR-139-5p,66,10,21,5,43,22,59,65,36,97,78,123,70,39,71,110,116,62,56,77,31,62,51,98
mmu-miR-140,46,11,8,4,19,17,25,40,15,94,34,68,67,24,52,55,138,24,38,36,32,57,30,64
mmu-miR-141,19,9,12,1,11,8,37,17,28,26,12,25,36,33,40,37,54,32,36,34,34,30,56,29
mmu-miR-142-3p,30,8,4,6,9,11,34,38,22,45,39,59,64,38,57,56,62,41,31,49,33,71,42,84
mmu-miR-142-5p,279,176,82,44,73,51,227,222,242,195,194,187,223,200,234,212,219,210,256,281,260,295,292,258
mmu-miR-143,525,44,132,31,269,238,202,440,131,1034,410,854,742,173,532,941,2395,514,311,366,176,568,198,938
mmu-miR-144,10,1,3,2,7,3,8,3,1,5,12,9,11,7,8,11,47,12,9,14,6,16,7,11
